epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,8188.82,1.00408,0.86788,1.28551,0.95747,0.94986,0.97627,0.73568,0.84026,0.62104,1.08213,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8334.15,0.99834,0.85012,1.27996,0.96477,0.9551,0.97852,0.74069,0.82973,0.53216,1.06937,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8480.05,0.99072,0.84933,1.27263,0.95428,0.95589,0.97475,0.73995,0.83628,0.5059,1.07084,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8627.28,0.97849,0.83309,1.26643,0.95796,0.95416,0.97013,0.7402,0.82003,0.51832,1.06255,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8771.25,0.96569,0.8112,1.26024,0.96662,0.95396,0.97368,0.73727,0.81629,0.51046,1.06117,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8919.75,0.96629,0.81296,1.25629,0.96819,0.94215,0.97262,0.74534,0.80317,0.46798,1.05666,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9065.9,0.95547,0.8112,1.25245,0.96196,0.9535,0.97252,0.74992,0.80526,0.47435,1.05281,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9211.85,0.96274,0.80994,1.2534,0.96943,0.95498,0.97474,0.7523,0.79687,0.46733,1.04231,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9357.79,0.94695,0.79251,1.2379,0.97072,0.95897,0.97591,0.7543,0.79507,0.4485,1.04318,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9502.53,0.94003,0.78752,1.23432,0.97094,0.95697,0.97799,0.75896,0.78516,0.44454,1.03585,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9648.85,0.93562,0.78584,1.23481,0.96932,0.95828,0.97599,0.75845,0.78958,0.45166,1.04185,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9795.18,0.92722,0.77959,1.22852,0.96589,0.9631,0.97749,0.76067,0.77812,0.48447,1.03692,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9939.81,0.92575,0.7703,1.22174,0.96672,0.95955,0.97688,0.76549,0.77102,0.50326,1.02637,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10086.1,0.912,0.74835,1.21987,0.96919,0.96099,0.98065,0.77019,0.76173,0.5522,1.02895,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10230.9,0.91095,0.74501,1.21613,0.97403,0.96008,0.9843,0.77296,0.75887,0.51708,1.02894,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10377.4,0.90771,0.75134,1.21239,0.96432,0.96146,0.97977,0.77071,0.75277,0.52782,1.0205,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10523.2,0.90519,0.74793,1.21514,0.97206,0.95375,0.97923,0.7741,0.73932,0.51505,1.00851,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10668.9,0.89343,0.73728,1.2105,0.9718,0.96075,0.97872,0.77333,0.73985,0.52747,1.01152,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10814.7,0.89668,0.73146,1.20724,0.97016,0.96429,0.98317,0.77691,0.73355,0.52227,1.00985,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10960,0.88345,0.71669,1.19497,0.95875,0.9606,0.97938,0.78188,0.72217,0.50818,1.00369,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11105.6,0.88114,0.71377,1.19274,0.97091,0.96011,0.98156,0.78078,0.7171,0.51085,0.99954,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11251.6,0.86732,0.70118,1.18522,0.96585,0.96784,0.98308,0.7829,0.7141,0.50585,1.00051,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11396.7,0.87284,0.71245,1.18786,0.9651,0.96715,0.9831,0.78518,0.70691,0.51075,0.99067,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11543.3,0.86265,0.69407,1.1825,0.96533,0.96258,0.98118,0.78929,0.69961,0.49561,0.98332,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11688.5,0.84512,0.68647,1.16635,0.96343,0.95867,0.97992,0.7844,0.70247,0.4841,0.985,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11834.9,0.85452,0.69139,1.17986,0.9684,0.95754,0.98159,0.78687,0.70268,0.49609,0.98716,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11981.4,0.84019,0.68185,1.16717,0.97326,0.95635,0.981,0.78853,0.70046,0.49744,0.9848,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12126.3,0.83793,0.66969,1.16794,0.96999,0.96233,0.98195,0.79007,0.69989,0.48169,0.98271,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12272.8,0.83542,0.66916,1.16509,0.9702,0.96065,0.98106,0.7931,0.69214,0.47637,0.97695,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12418.6,0.83007,0.66044,1.16305,0.97174,0.95975,0.98135,0.79684,0.68777,0.47731,0.97499,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12564.6,0.82121,0.65649,1.15566,0.9719,0.96056,0.97978,0.79703,0.68628,0.46482,0.97654,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12711,0.81385,0.64741,1.15341,0.96941,0.96248,0.98107,0.79614,0.68465,0.46192,0.97455,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12856,0.81165,0.64685,1.14594,0.97021,0.96213,0.98193,0.7952,0.68119,0.45288,0.97175,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13002.6,0.80969,0.6456,1.1455,0.97388,0.96338,0.9835,0.79502,0.67962,0.44649,0.97118,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13147.9,0.80411,0.64887,1.14943,0.97259,0.96314,0.98363,0.79819,0.67768,0.44375,0.97126,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13293.5,0.79073,0.62648,1.13911,0.9761,0.9606,0.98424,0.79862,0.67641,0.44316,0.97069,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13448.1,0.61388,0.33579,0.98487,0.97914,0.96146,0.98446,0.80127,0.67065,0.43728,0.96783,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13593.5,0.60807,0.32708,0.98309,0.97832,0.96062,0.98279,0.799,0.66622,0.42776,0.96453,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13739.2,0.60436,0.3252,0.98059,0.97653,0.95892,0.98142,0.79977,0.66127,0.42025,0.96165,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13884.4,0.5952,0.32177,0.97641,0.97725,0.95867,0.98174,0.80317,0.65849,0.41939,0.96031,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,14029.7,0.58496,0.31628,0.9675,0.97757,0.95751,0.98157,0.80617,0.65525,0.41402,0.95865,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14177.1,0.5761,0.31168,0.96778,0.97593,0.95954,0.98157,0.8056,0.6528,0.40887,0.95718,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14322.7,0.57893,0.31148,0.96466,0.97354,0.96009,0.98202,0.80583,0.64956,0.40563,0.95504,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14469,0.56028,0.30306,0.95384,0.96889,0.96635,0.98205,0.80883,0.64591,0.40008,0.95213,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14614.9,0.56498,0.30563,0.95616,0.96877,0.96669,0.98216,0.81055,0.64366,0.39682,0.95061,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14760.5,0.55931,0.30153,0.95569,0.97197,0.96281,0.98276,0.81053,0.64172,0.39348,0.94979,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
